MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
566539000,2022-03-31T00:48:02,28.67568,-94.04731,5.4,299.7,303.0,EAGLE SAN DIEGO,IMO9594834,9V9335,80.0,0.0,274.0,49.0,17.2,80.0,A
367153430,2022-03-31T03:34:57,47.66118,-122.38011,0.0,50.0,511.0,TRAVELER,IMO885569500,WDD5082,30.0,0.0,33.0,11.0,0.0,30.0,A
367702130,2022-03-31T00:19:09,41.32013,-88.90574,4.3,261.7,266.0,DRU LIRETTE,,WDI4800,31.0,0.0,41.0,14.0,,31.0,A
368180460,2022-03-31T21:16:26,38.04307,-122.13196,0.0,232.9,238.0,DELTA DEANNA,IMO9833979,WDL9594,52.0,0.0,34.0,10.0,6.1,52.0,A
367059950,2022-03-31T03:57:54,27.88531,-82.53779,0.0,0.0,511.0,EL PUMA GRANDE,IMO7200180,WDC6699,31.0,0.0,29.0,8.0,,31.0,A
368193410,2022-03-31T22:56:36,47.92247,-122.68481,0.0,35.2,511.0,YADA YADA,IMO0000000,WDM3014,36.0,,4.0,2.0,,,B
368052540,2022-03-31T09:49:32,34.71726,-76.69105,0.0,10.4,511.0,ISLAND GIRL,,WDK4170,52.0,0.0,17.0,8.0,0.0,52.0,A
367791540,2022-03-31T11:43:59,40.5976,-74.03626,25.9,331.3,331.0,OPPORTUNITY,,WDJ5813,60.0,0.0,,,,60.0,A
338413043,2022-03-31T04:25:09,26.11508,-80.10625,0.0,360.0,511.0,SOJOURN,IMO0000000,,36.0,,14.0,6.0,,,B
367618310,2022-03-31T20:42:07,40.68348,-74.07293,0.0,272.3,135.0,JUSTINE MCALLISTER,IMO8107878,WDH4493,31.0,0.0,33.0,10.0,4.9,52.0,A
366984280,2022-03-31T15:33:58,44.56228,-92.45773,4.4,285.5,511.0,CORAL DAWN,,WDB9873,31.0,12.0,46.0,12.0,,57.0,A
367529040,2022-03-31T02:41:16,29.34844,-90.7298,0.0,249.8,511.0,K-MARINE VIII,IMO8977144,WDG3728,60.0,15.0,44.0,8.0,2.1,60.0,A
338954000,2022-03-31T11:52:43,39.93344,-75.14125,0.1,9.0,99.0,CG WILLIAM TATE,IMO9177284,NNIA,90.0,5.0,53.0,10.0,2.4,55.0,A
368105470,2022-03-31T08:17:36,33.91725,-78.03972,0.1,170.5,511.0,JACK NEWMAN,IMO8332069,WDK9646,31.0,0.0,0.0,0.0,3.0,31.0,A
366962010,2022-03-31T01:51:42,29.61424,-94.97104,6.4,85.5,511.0,MISS MONIE,,WCZ9166,31.0,15.0,16.0,6.0,,31.0,A
477518300,2022-03-31T12:31:39,38.90523,-76.40837,0.0,295.0,176.0,WUCHANG,IMO9657844,VRNT4,70.0,1.0,179.0,30.0,10.5,70.0,A
316011981,2022-03-31T23:09:30,48.66877,-123.40444,0.0,299.2,346.0,SEGUE II,,CFN4950,37.0,0.0,12.0,4.0,2.3,37.0,A
367710560,2022-03-31T13:42:54,27.84261,-97.06304,7.4,73.1,67.0,PADDY CENAC,IMO9704697,WDI5633,90.0,0.0,99.0,,,52.0,A
577116000,2022-03-31T09:01:56,29.64946,-91.10245,0.0,164.5,203.0,OCEAN INTREPID,IMO8641939,YJTC6,90.0,5.0,109.0,31.0,5.5,90.0,A
636017073,2022-03-31T08:51:44,32.08855,-81.10025,0.0,318.0,320.0,SOLIDARNOSC,IMO9708069,D5JE2,70.0,5.0,180.0,30.0,7.1,70.0,A
367130430,2022-03-31T15:29:10,29.78917,-95.0762,0.0,213.1,511.0,GUS BLESSEY,,WDD3381,31.0,15.0,7.0,,,31.0,A
367638480,2022-03-31T14:12:34,48.75453,-122.49345,0.0,0.0,511.0,OCEAN HUNTER,IMO8705852,WDH6487,30.0,0.0,25.0,7.0,,30.0,A
368018310,2022-03-31T00:32:43,30.4811,-86.4857,0.0,360.0,511.0,TRISTEN,IMO0000001,WDJ8628,32.0,0.0,21.0,8.0,3.1,57.0,A
367424420,2022-03-31T01:48:13,29.74107,-95.11175,0.3,36.7,511.0,HADEN II,IMO9215335,WDF2064,31.0,0.0,28.0,10.0,5.0,52.0,A
538009749,2022-03-31T03:17:24,49.30279,-123.08931,3.1,101.2,97.0,TS DALIAN,IMO9348857,V7A5115,70.0,0.0,222.0,30.0,11.4,70.0,A
367460470,2022-03-31T20:55:31,48.36801,-124.61269,0.0,360.0,511.0,MANDINGO,IMO0000000,WDF5195,30.0,,25.0,7.0,,,B
538008224,2022-03-31T08:34:15,45.64359,-122.741,0.0,15.8,115.0,DUNNII,IMO9824978,V7A2104,70.0,1.0,202.0,34.0,12.1,70.0,A
368214090,2022-03-31T22:44:54,30.4038,-87.21362,0.0,360.0,511.0,BAYOU-A-BUD,IMO0000000,WDM5254,37.0,,25.0,5.0,,,B
636020519,2022-03-31T01:55:54,29.60628,-89.85367,0.0,182.6,261.0,ROTTERDAM PEARL,IMO9557135,D5ZO6,70.0,1.0,190.0,31.0,11.8,70.0,A
319073200,2022-03-31T00:23:54,26.09746,-80.17049,0.0,194.6,179.0,CHEERS 46,IMO9759317,ZGEH6,37.0,5.0,42.0,,,37.0,A
244128536,2022-03-31T17:18:04,21.32791,-158.11991,0.7,360.0,511.0,DJITO,IMO0000000,PI8378,36.0,,16.0,5.0,,,B
