MMSI,mean_speed,std_speed,min_speed,max_speed,n_fixes
367170330,3.02948,5.644336,0.0,16.3,519
367170830,0.9698113,1.2599733,0.0,5.9,53
367170860,0.011506623,0.0573515,0.0,1.3,1208
367170930,0.0,0.0,0.0,0.0,379
367170970,0.004435484,0.020629857,0.0,0.1,248
367170990,0.88235295,1.9092847,0.0,7.9,1156
367171010,0.58564013,1.7827654,0.0,12.3,1156
367171050,0.004699739,0.045480605,0.0,1.4,1149
367171320,0.0,0.0,0.0,0.0,33
367171430,0.3741217,1.6527171,0.0,10.8,1167
367171930,1.0748079,2.4403424,0.0,7.9,1171
367171980,0.022222223,0.044095855,0.0,0.1,9
367172060,1.6374999,2.176129,0.0,7.2,224
367172110,0.0,0.0,0.0,0.0,123
367172480,0.006666667,0.02581989,0.0,0.1,15
367173220,0.0,0.0,0.0,0.0,158
367173280,0.7894958,1.8638337,0.0,6.4,1190
367174060,5.765722,6.2397423,0.0,14.7,1129
367174090,0.92444444,1.0813999,0.0,5.3,405
367174120,0.00030487805,0.0055215764,0.0,0.1,328
367174230,0.0,0.0,0.0,0.0,426
367174370,2.5467303,2.1364143,0.0,10.3,734
367174580,0.009929079,0.029940616,0.0,0.1,423
367174670,2.3462648,3.800334,0.0,12.0,1178
367174710,1.4030457,0.8740539,0.1,3.0,197
367175530,0.00086956524,0.009297901,0.0,0.1,345
367175570,0.005952381,0.023707332,0.0,0.1,252
367175640,0.0029411765,0.016916517,0.0,0.1,408
367175740,0.0,0.0,0.0,0.0,374
367175780,0.18632075,0.48245987,0.0,4.0,424
367175860,2.3250222,3.720328,0.0,11.9,1119
367176730,0.0012793178,0.01125011,0.0,0.1,469
367176750,0.010991957,0.031320963,0.0,0.1,373
367177470,0.22619048,0.8873253,0.0,5.8,42
367177660,3.3287332,5.3220596,0.0,18.8,442
367177670,6.8142047,9.437419,0.0,23.7,352
367177840,4.296612,4.739333,0.0,13.4,1092
367178330,0.16418836,0.06276353,0.1,0.4,807
367178530,0.0,0.0,0.0,0.0,38
367179650,0.003940887,0.01950467,0.0,0.1,203
367179790,1.8985277,4.9144506,0.0,18.3,883
367179990,1.9451166,3.4112124,0.0,11.7,1157
367180360,0.00023474179,0.0048450157,0.0,0.1,426
367180790,1.9710478,2.6331127,0.0,7.0,1088
367180890,1.7789632,2.6978824,0.0,9.1,1003
367180970,0.014457831,0.039722864,0.0,0.3,415
367181280,0.0009975062,0.00995,0.0,0.1,401
367181550,1.6723478,3.2325249,0.0,11.6,575
367181730,0.0,0.0,0.0,0.0,224
367181750,1.7108893,2.874178,0.0,7.9,1102
