MMSI,dark_events,last_position
338247363,1,2022-03-31 23:14:04+00:00
338250173,1,2022-03-31 14:27:58+00:00
338250683,1,2022-03-31 14:58:50+00:00
338301303,1,2022-03-31 18:12:25+00:00
338302002,1,2022-03-31 10:25:20+00:00
338302064,1,2022-03-31 21:29:12+00:00
338303073,1,2022-03-31 12:19:44+00:00
338303778,1,2022-03-31 19:56:43+00:00
338328291,1,2022-03-31 12:08:43+00:00
338330514,1,2022-03-31 19:37:05+00:00
338330978,2,2022-03-31 22:04:59+00:00
338332085,1,2022-03-31 16:27:47+00:00
338334114,1,2022-03-31 14:25:32+00:00
338339871,1,2022-03-31 22:52:46+00:00
338343000,1,2022-03-31 18:42:42+00:00
338344964,1,2022-03-31 23:59:26+00:00
338347048,1,2022-03-31 19:59:31+00:00
338354421,1,2022-03-31 17:22:57+00:00
338354787,1,2022-03-31 13:04:18+00:00
338354886,1,2022-03-31 21:32:24+00:00
338361141,1,2022-03-31 18:20:23+00:00
338362997,1,2022-03-31 21:06:24+00:00
338363672,1,2022-03-31 16:19:36+00:00
338374192,1,2022-03-31 19:13:12+00:00
338380024,1,2022-03-31 10:27:41+00:00
338381143,1,2022-03-31 15:43:46+00:00
338381525,1,2022-03-31 23:20:59+00:00
338383211,1,2022-03-31 21:44:35+00:00
338384092,1,2022-03-31 17:50:57+00:00
338384468,1,2022-03-31 12:44:34+00:00
338387341,1,2022-03-31 12:11:32+00:00
338387749,1,2022-03-31 12:37:30+00:00
338391943,1,2022-03-31 21:42:14+00:00
338392038,1,2022-03-31 12:55:36+00:00
338392684,1,2022-03-31 12:11:16+00:00
338392718,1,2022-03-31 12:09:09+00:00
338394722,1,2022-03-31 14:52:05+00:00
338396738,1,2022-03-31 12:10:16+00:00
338397678,1,2022-03-31 13:20:47+00:00
338398895,1,2022-03-31 23:19:32+00:00
338399475,1,2022-03-31 15:52:12+00:00
338400892,1,2022-03-31 09:01:41+00:00
338401442,1,2022-03-31 16:42:39+00:00
338401543,1,2022-03-31 13:09:56+00:00
338401911,1,2022-03-31 21:50:28+00:00
338404042,1,2022-03-31 12:40:31+00:00
338406089,1,2022-03-31 12:10:54+00:00
338407374,1,2022-03-31 13:00:29+00:00
338408564,1,2022-03-31 16:11:10+00:00
338409314,1,2022-03-31 22:28:30+00:00
338415968,1,2022-03-31 12:21:00+00:00
338419273,1,2022-03-31 16:01:46+00:00
338420461,1,2022-03-31 12:18:55+00:00
338421797,1,2022-03-31 12:09:34+00:00
338422116,1,2022-03-31 11:28:53+00:00
338428075,1,2022-03-31 13:41:16+00:00
338429071,1,2022-03-31 12:22:52+00:00
338429753,1,2022-03-31 21:14:46+00:00
338432955,1,2022-03-31 14:35:30+00:00
338434258,1,2022-03-31 15:44:12+00:00
338754000,1,2022-03-31 12:22:19+00:00
338763000,1,2022-03-31 14:56:30+00:00
338926951,1,2022-03-31 23:59:20+00:00
339592000,1,2022-03-31 15:50:43+00:00
339676000,1,2022-03-31 15:33:30+00:00
343991331,1,2022-03-31 11:37:06+00:00
345010070,1,2022-03-31 21:47:41+00:00
345030026,1,2022-03-31 18:15:56+00:00
345030040,1,2022-03-31 20:09:22+00:00
345030067,1,2022-03-31 23:20:57+00:00
345070013,1,2022-03-31 19:08:15+00:00
345070038,1,2022-03-31 19:49:21+00:00
345070225,1,2022-03-31 21:40:30+00:00
345070320,1,2022-03-31 21:48:20+00:00
345070402,1,2022-03-31 21:48:24+00:00
345140009,1,2022-03-31 19:03:05+00:00
345140013,1,2022-03-31 23:16:47+00:00
345160012,1,2022-03-31 22:17:00+00:00
351104000,1,2022-03-31 23:59:39+00:00
351675000,1,2022-03-31 22:38:36+00:00
351680000,1,2022-03-31 21:42:37+00:00
352229000,1,2022-03-31 19:56:10+00:00
352306000,1,2022-03-31 22:21:59+00:00
352514000,1,2022-03-31 23:01:47+00:00
352978268,1,2022-03-31 21:56:43+00:00
352980769,1,2022-03-31 12:10:01+00:00
352986151,1,2022-03-31 17:49:11+00:00
353105000,1,2022-03-31 11:10:55+00:00
353778000,1,2022-03-31 12:45:21+00:00
354212000,1,2022-03-31 23:12:42+00:00
354519000,1,2022-03-31 17:24:30+00:00
354556000,1,2022-03-31 20:20:59+00:00
355870000,1,2022-03-31 22:19:37+00:00
356701000,1,2022-03-31 18:34:33+00:00
357628000,1,2022-03-31 23:59:18+00:00
357715000,1,2022-03-31 21:59:42+00:00
366100000,1,2022-03-31 12:30:10+00:00
366222630,1,2022-03-31 23:25:02+00:00
366382000,1,2022-03-31 08:35:41+00:00
366472920,1,2022-03-31 13:32:57+00:00
366629680,1,2022-03-31 09:50:40+00:00
366675760,1,2022-03-31 09:42:48+00:00
366798950,1,2022-03-31 11:10:49+00:00
366805510,1,2022-03-31 10:25:31+00:00
366806920,1,2022-03-31 12:08:42+00:00
366821510,1,2022-03-31 12:08:48+00:00
366832880,1,2022-03-31 19:05:05+00:00
366853410,1,2022-03-31 19:56:36+00:00
366853890,1,2022-03-31 16:11:12+00:00
366856460,1,2022-03-31 12:55:42+00:00
366863870,1,2022-03-31 09:31:06+00:00
366878290,1,2022-03-31 22:50:40+00:00
366902320,2,2022-03-31 20:25:37+00:00
366904350,1,2022-03-31 12:08:42+00:00
366914180,1,2022-03-31 18:54:44+00:00
366914410,1,2022-03-31 21:34:44+00:00
366914420,1,2022-03-31 16:01:01+00:00
366914430,1,2022-03-31 16:21:59+00:00
366916940,1,2022-03-31 12:08:44+00:00
366917160,1,2022-03-31 12:08:58+00:00
366919170,1,2022-03-31 14:08:44+00:00
366919210,1,2022-03-31 12:08:44+00:00
366920310,1,2022-03-31 22:11:09+00:00
366933130,1,2022-03-31 20:53:57+00:00
366936680,1,2022-03-31 21:56:58+00:00
366937050,1,2022-03-31 12:08:40+00:00
366939330,1,2022-03-31 12:08:42+00:00
366943940,1,2022-03-31 13:06:10+00:00
366950410,1,2022-03-31 12:45:37+00:00
366950740,1,2022-03-31 22:11:06+00:00
366951060,1,2022-03-31 19:12:44+00:00
366951230,1,2022-03-31 19:36:13+00:00
366951350,1,2022-03-31 21:53:50+00:00
366952340,1,2022-03-31 12:08:43+00:00
366953880,1,2022-03-31 12:08:40+00:00
366953920,1,2022-03-31 12:08:40+00:00
366954420,1,2022-03-31 20:29:04+00:00
366961450,1,2022-03-31 15:28:54+00:00
366961490,1,2022-03-31 20:12:34+00:00
366961530,1,2022-03-31 12:08:53+00:00
366961810,1,2022-03-31 12:08:48+00:00
366962960,1,2022-03-31 12:08:45+00:00
366962970,1,2022-03-31 12:09:52+00:00
366962980,1,2022-03-31 12:09:29+00:00
366963010,1,2022-03-31 12:08:41+00:00
366963030,1,2022-03-31 12:08:40+00:00
366963050,1,2022-03-31 15:10:37+00:00
366963070,1,2022-03-31 12:08:42+00:00
366963160,1,2022-03-31 09:06:28+00:00
366963330,1,2022-03-31 12:08:54+00:00
366963360,1,2022-03-31 12:08:42+00:00
366963380,1,2022-03-31 12:08:46+00:00
366963390,1,2022-03-31 12:08:41+00:00
366963460,1,2022-03-31 12:08:49+00:00
366963470,1,2022-03-31 20:48:51+00:00
366963980,1,2022-03-31 12:36:40+00:00
366967470,1,2022-03-31 17:06:18+00:00
366967480,1,2022-03-31 12:08:44+00:00
366967510,1,2022-03-31 12:08:48+00:00
366967530,1,2022-03-31 12:08:47+00:00
366967550,1,2022-03-31 12:08:41+00:00
366967580,1,2022-03-31 13:18:27+00:00
366967620,1,2022-03-31 12:08:47+00:00
366967660,1,2022-03-31 12:17:59+00:00
366967690,1,2022-03-31 12:08:45+00:00
366969970,1,2022-03-31 12:46:37+00:00
366970360,1,2022-03-31 12:24:27+00:00
366970760,1,2022-03-31 13:42:30+00:00
366970790,1,2022-03-31 12:09:38+00:00
366970820,1,2022-03-31 12:08:41+00:00
366971280,1,2022-03-31 12:54:24+00:00
366975760,1,2022-03-31 17:32:34+00:00
366977380,1,2022-03-31 23:54:10+00:00
366979270,1,2022-03-31 12:08:40+00:00
366980160,1,2022-03-31 10:01:29+00:00
366981080,1,2022-03-31 14:19:59+00:00
366981360,1,2022-03-31 17:20:49+00:00
366983260,1,2022-03-31 15:55:21+00:00
366983830,1,2022-03-31 13:09:23+00:00
366984180,1,2022-03-31 12:08:40+00:00
366984240,1,2022-03-31 22:15:16+00:00
366984250,1,2022-03-31 12:09:07+00:00
366984280,1,2022-03-31 12:08:49+00:00
366984330,1,2022-03-31 12:08:46+00:00
366984390,1,2022-03-31 16:47:01+00:00
366984440,1,2022-03-31 23:06:56+00:00
366984870,1,2022-03-31 08:44:25+00:00
366984910,1,2022-03-31 12:08:41+00:00
366984920,1,2022-03-31 17:29:30+00:00
366984940,1,2022-03-31 12:08:46+00:00
366984960,1,2022-03-31 12:08:46+00:00
366984970,1,2022-03-31 12:08:39+00:00
366986330,1,2022-03-31 12:08:43+00:00
366986430,1,2022-03-31 12:08:43+00:00
366986450,1,2022-03-31 12:08:53+00:00
366986710,1,2022-03-31 11:38:42+00:00
366986770,1,2022-03-31 12:08:39+00:00
366986780,1,2022-03-31 12:08:42+00:00
366986810,1,2022-03-31 12:08:49+00:00
366986820,1,2022-03-31 12:08:46+00:00
366986840,1,2022-03-31 12:08:41+00:00
366986850,1,2022-03-31 12:08:42+00:00
366987010,1,2022-03-31 12:08:45+00:00
366988190,1,2022-03-31 12:08:39+00:00
366988710,1,2022-03-31 12:08:46+00:00
366988770,1,2022-03-31 12:08:40+00:00
366989170,2,2022-03-31 22:45:22+00:00
366989220,1,2022-03-31 12:08:48+00:00
366989280,1,2022-03-31 12:10:21+00:00
366989870,1,2022-03-31 12:08:40+00:00
366989960,1,2022-03-31 09:27:58+00:00
366990010,1,2022-03-31 12:08:40+00:00
366990030,1,2022-03-31 20:55:24+00:00
366990040,2,2022-03-31 19:52:04+00:00
366990450,1,2022-03-31 12:48:09+00:00
366990520,1,2022-03-31 12:41:13+00:00
366990570,1,2022-03-31 20:55:21+00:00
366992890,1,2022-03-31 12:08:43+00:00
366993020,1,2022-03-31 12:08:40+00:00
366993470,1,2022-03-31 12:21:38+00:00
366993550,1,2022-03-31 12:08:48+00:00
366995470,1,2022-03-31 12:08:48+00:00
366995550,1,2022-03-31 12:09:13+00:00
366995820,1,2022-03-31 12:10:27+00:00
366996040,1,2022-03-31 12:18:43+00:00
366996080,1,2022-03-31 12:08:40+00:00
366996740,1,2022-03-31 12:08:41+00:00
366997280,1,2022-03-31 12:10:46+00:00
366997420,1,2022-03-31 12:08:42+00:00
366999148,1,2022-03-31 23:27:27+00:00
366999387,1,2022-03-31 12:08:39+00:00
366999429,1,2022-03-31 15:30:15+00:00
366999502,1,2022-03-31 12:08:46+00:00
366999504,1,2022-03-31 12:11:39+00:00
366999506,1,2022-03-31 12:08:56+00:00
366999515,1,2022-03-31 12:31:34+00:00
366999519,1,2022-03-31 12:10:45+00:00
367001740,1,2022-03-31 14:25:14+00:00
367002380,1,2022-03-31 12:08:40+00:00
367002540,1,2022-03-31 12:08:48+00:00
367004110,1,2022-03-31 12:08:59+00:00
367004350,1,2022-03-31 12:08:42+00:00
367004740,1,2022-03-31 15:29:21+00:00
367005170,1,2022-03-31 12:08:41+00:00
367005580,1,2022-03-31 12:08:40+00:00
367006570,1,2022-03-31 17:42:38+00:00
367009420,1,2022-03-31 12:08:40+00:00
367009830,1,2022-03-31 12:15:45+00:00
367012690,2,2022-03-31 22:56:13+00:00
367012730,1,2022-03-31 12:08:40+00:00
367016520,1,2022-03-31 12:08:47+00:00
367017630,1,2022-03-31 17:10:02+00:00
367037610,1,2022-03-31 20:20:34+00:00
367040650,1,2022-03-31 20:14:10+00:00
367042570,1,2022-03-31 14:33:05+00:00
367047080,2,2022-03-31 23:30:56+00:00
367047240,1,2022-03-31 13:37:09+00:00
367047320,1,2022-03-31 12:10:57+00:00
367049010,1,2022-03-31 13:28:12+00:00
367050090,1,2022-03-31 12:10:17+00:00
367057320,1,2022-03-31 12:08:55+00:00
367057330,1,2022-03-31 12:08:46+00:00
367057340,1,2022-03-31 17:16:20+00:00
367057450,1,2022-03-31 12:08:44+00:00
367057510,1,2022-03-31 12:08:43+00:00
367057590,1,2022-03-31 12:08:40+00:00
367057620,1,2022-03-31 12:19:59+00:00
367057630,2,2022-03-31 18:35:09+00:00
367057650,1,2022-03-31 15:09:32+00:00
367057720,1,2022-03-31 22:32:27+00:00
367057840,1,2022-03-31 12:08:46+00:00
367057860,1,2022-03-31 12:08:40+00:00
367060370,1,2022-03-31 12:08:48+00:00
367060490,1,2022-03-31 21:03:57+00:00
367065250,1,2022-03-31 12:08:40+00:00
367080570,1,2022-03-31 12:08:39+00:00
367080670,1,2022-03-31 21:24:35+00:00
367091720,1,2022-03-31 20:34:18+00:00
367092210,2,2022-03-31 19:33:01+00:00
367094360,1,2022-03-31 16:38:45+00:00
367095450,1,2022-03-31 12:08:52+00:00
367096590,1,2022-03-31 20:13:48+00:00
367100370,1,2022-03-31 11:02:02+00:00
367101090,1,2022-03-31 12:37:00+00:00
367101870,1,2022-03-31 07:26:00+00:00
367102000,1,2022-03-31 18:22:16+00:00
367102610,2,2022-03-31 17:50:29+00:00
367105910,1,2022-03-31 12:08:47+00:00
367107060,1,2022-03-31 12:11:35+00:00
367108660,1,2022-03-31 12:08:51+00:00
367110450,1,2022-03-31 10:53:25+00:00
367112160,1,2022-03-31 17:44:19+00:00
367113620,1,2022-03-31 16:19:03+00:00
367120040,1,2022-03-31 11:02:29+00:00
367121850,1,2022-03-31 08:41:44+00:00
367122230,1,2022-03-31 12:08:47+00:00
367122610,1,2022-03-31 10:35:52+00:00
367122690,1,2022-03-31 12:08:47+00:00
367122710,1,2022-03-31 12:08:41+00:00
367129630,1,2022-03-31 12:08:41+00:00
367129640,1,2022-03-31 12:10:15+00:00
367129650,1,2022-03-31 12:08:46+00:00
367133180,1,2022-03-31 14:04:09+00:00
367135480,1,2022-03-31 12:12:17+00:00
367136470,1,2022-03-31 21:49:51+00:00
367136690,1,2022-03-31 12:08:49+00:00
367139980,1,2022-03-31 19:56:44+00:00
367140820,1,2022-03-31 12:08:45+00:00
367140940,1,2022-03-31 12:24:39+00:00
367143380,1,2022-03-31 12:08:42+00:00
367143450,1,2022-03-31 19:56:48+00:00
367143710,1,2022-03-31 12:08:41+00:00
367143910,1,2022-03-31 12:08:45+00:00
367148870,1,2022-03-31 14:00:23+00:00
367151380,1,2022-03-31 22:50:19+00:00
367155110,1,2022-03-31 17:05:01+00:00
367161940,1,2022-03-31 23:59:04+00:00
367162230,1,2022-03-31 12:53:50+00:00
367166520,1,2022-03-31 20:49:47+00:00
367167940,1,2022-03-31 12:08:46+00:00
367169000,1,2022-03-31 07:40:41+00:00
367170830,2,2022-03-31 22:45:56+00:00
367171320,1,2022-03-31 16:38:10+00:00
367174710,1,2022-03-31 20:11:49+00:00
367183990,1,2022-03-31 23:08:55+00:00
367185180,1,2022-03-31 21:16:03+00:00
367185530,1,2022-03-31 13:53:59+00:00
367186690,1,2022-03-31 15:24:58+00:00
367192970,1,2022-03-31 11:53:04+00:00
367194680,2,2022-03-31 19:55:13+00:00
367199750,1,2022-03-31 12:08:43+00:00
367299000,1,2022-03-31 19:53:06+00:00
367303720,1,2022-03-31 09:49:30+00:00
367303910,1,2022-03-31 22:09:40+00:00
367304080,1,2022-03-31 08:51:58+00:00
367305380,2,2022-03-31 20:22:37+00:00
367308230,1,2022-03-31 12:08:44+00:00
367309870,1,2022-03-31 17:15:24+00:00
367310270,1,2022-03-31 16:27:59+00:00
367311660,1,2022-03-31 19:53:58+00:00
367313950,1,2022-03-31 12:20:29+00:00
367314350,1,2022-03-31 21:13:36+00:00
367315790,1,2022-03-31 22:30:39+00:00
367316130,1,2022-03-31 14:29:36+00:00
367317340,1,2022-03-31 20:20:20+00:00
